"ID" "N2" "ICC" "method" "parameter" "est" "se" "ci_l" "ci_u"
3 60 0.1 "MI-R1" "gamma10" 0.126660847942386 0.0426907234664984 0.0428636111511726 0.210458084733599
3 60 0.1 "MI-R1" "gamma01" 0.436354210742811 0.134221625976851 0.171965124652468 0.700743296833154
3 60 0.1 "MI-a1" "gamma10" 0.126660847942386 0.0426907234664984 0.0426723874185799 0.210649308466192
3 60 0.1 "MI-a1" "gamma01" 0.436354210742811 0.134221625976851 0.164674877072089 0.708033544413533
3 60 0.1 "MI-R2" "gamma10" 0.125920295518533 0.0631637613796289 -0.00399224539242374 0.255832836429489
3 60 0.1 "MI-R2" "gamma01" 0.436666255668525 0.124716900136749 0.191529157156202 0.681803354180849
3 60 0.1 "MI-a2" "gamma10" 0.125920295518533 0.0631637613796289 -0.00467306766550277 0.256513658702568
3 60 0.1 "MI-a2" "gamma01" 0.436666255668525 0.124716900136749 0.18516656283284 0.688165948504211
4 15 0.1 "MI-R1" "gamma10" 0.179615289263283 0.112764387987247 -0.0423019736651623 0.401532552191728
4 15 0.1 "MI-R1" "gamma01" 0.355270396505357 0.250719901802481 -0.136993372755421 0.847534165766135
4 15 0.1 "MI-a1" "gamma10" 0.179615289263283 0.112764387987247 -0.0445752638626468 0.403805842389213
4 15 0.1 "MI-a1" "gamma01" 0.355270396505357 0.250719901802481 -0.203884318070713 0.914425111081427
4 15 0.1 "MI-R2" "gamma10" 0.186472161201701 0.106771768108267 -0.0231617713522805 0.396106093755683
4 15 0.1 "MI-R2" "gamma01" 0.325688098751556 0.24570818483304 -0.156161230070097 0.807537427573209
4 15 0.1 "MI-a2" "gamma10" 0.186472161201701 0.106771768108267 -0.025157592988538 0.39810191539194
4 15 0.1 "MI-a2" "gamma01" 0.325688098751556 0.24570818483304 -0.217688046920309 0.869064244423421
1 15 0.1 "MI-R1" "gamma10" 0.196842829720512 0.117122905824537 -0.0402249900179358 0.43391064945896
1 15 0.1 "MI-R1" "gamma01" 0.477956394397492 0.315335693848488 -0.141439836697379 1.09735262549236
1 15 0.1 "MI-a1" "gamma10" 0.196842829720512 0.117122905824537 -0.0442539082099608 0.437939567650985
1 15 0.1 "MI-a1" "gamma01" 0.477956394397492 0.315335693848488 -0.227076998457366 1.18298978725235
1 15 0.1 "MI-R2" "gamma10" 0.25970222970187 0.106508868272365 0.0465440900942463 0.472860369309494
1 15 0.1 "MI-R2" "gamma01" 0.515386597335107 0.403925084496319 -0.281010634907363 1.31178382957758
1 15 0.1 "MI-a2" "gamma10" 0.25970222970187 0.106508868272365 0.0435184165405304 0.47588604286321
1 15 0.1 "MI-a2" "gamma01" 0.515386597335107 0.403925084496319 -0.40472888804549 1.4355020827157
5 30 0.1 "MI-R1" "gamma10" 0.196188651621954 0.0847069503846508 0.0277670735638397 0.364610229680068
5 30 0.1 "MI-R1" "gamma01" 0.0679486535888651 0.188587104647437 -0.302344282515651 0.438241589693382
5 30 0.1 "MI-a1" "gamma10" 0.196188651621954 0.0847069503846508 0.0267222428619149 0.365655060381993
