"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "cov" "bias"
"170" 2 0.3 15 0.1 0 "MI-R" "gamma10" 0.217130154106081 0.265721726931885 1 0.0828698458939189
"171" 3 0 30 0.1 0 "MI-R" "gamma10" 0.00227314238606765 0.19576987378781 0.5 0.297726857613932
"172" 4 0.3 30 0.1 0 "MI-R" "gamma10" 0.203177596411008 0.222023878099687 0.9 0.0968224035889921
"173" 5 0 60 0.1 0 "MI-R" "gamma10" 0.027102767720078 0.125767012695499 0.4 0.272897232279922
"174" 6 0.3 60 0.1 0 "MI-R" "gamma10" 0.204112350784254 0.13772478096958 0.9 0.0958876492157464
"175" 7 0 15 0.3 0 "MI-R" "gamma10" -0.0198494019214572 0.266928146809604 0.6 0.319849401921457
"176" 8 0.3 15 0.3 0 "MI-R" "gamma10" 0.330857558376923 0.289355241783465 0.9 -0.0308575583769231
"177" 9 0 30 0.3 0 "MI-R" "gamma10" 0.0333536824414235 0.17869185185836 0.7 0.266646317558576
"178" 10 0.3 30 0.3 0 "MI-R" "gamma10" 0.320015999993581 0.190811536411997 1 -0.0200159999935815
"179" 11 0 60 0.3 0 "MI-R" "gamma10" -0.0208535162936197 0.140436769226547 0.4 0.32085351629362
"180" 12 0.3 60 0.3 0 "MI-R" "gamma10" 0.309395188344406 0.134459631893805 0.9 -0.0093951883444064
"181" 13 0 15 0.1 0.3 "MI-R" "gamma10" -0.00343488156714915 0.351801585412273 0.8 0.303434881567149
"182" 14 0.3 15 0.1 0.3 "MI-R" "gamma10" 0.278885829079272 0.271537296937317 1 0.0211141709207285
"183" 15 0 30 0.1 0.3 "MI-R" "gamma10" 0.0355126632728978 0.185953517025829 0.7 0.264487336727102
"184" 16 0.3 30 0.1 0.3 "MI-R" "gamma10" 0.376423011897589 0.182274253440093 0.9 -0.0764230118975893
"185" 17 0 60 0.1 0.3 "MI-R" "gamma10" 0.0523417101153972 0.130720325646606 0.6 0.247658289884603
"186" 18 0.3 60 0.1 0.3 "MI-R" "gamma10" 0.26197573813187 0.138019437148076 1 0.0380242618681301
"187" 19 0 15 0.3 0.3 "MI-R" "gamma10" -0.0591521552069121 0.280119056914218 0.6 0.359152155206912
"188" 20 0.3 15 0.3 0.3 "MI-R" "gamma10" 0.33891180188873 0.213806865317698 0.9 -0.0389118018887299
"189" 21 0 30 0.3 0.3 "MI-R" "gamma10" -0.0370922240170055 0.198929225699168 0.7 0.337092224017005
"190" 22 0.3 30 0.3 0.3 "MI-R" "gamma10" 0.358708118894981 0.209327305558626 0.9 -0.0587081188949813
"191" 23 0 60 0.3 0.3 "MI-R" "gamma10" -0.0337273985276795 0.124452392789083 0.3 0.333727398527679
"192" 24 0.3 60 0.3 0.3 "MI-R" "gamma10" 0.316676146418101 0.124255249049276 1 -0.016676146418101
